symbol;name;sector;industry;marketCap;pe;pb;ps;eps_growth;revenue_growth;ebit;ev;fcf;roic;current_price;ev_ebit;fcf_yield;classification;fair_value;dcf_value_gap;valuation_tag;growth_tag;final_tag
MMM;3M Company;Industrials;Conglomerates;78305337344;18,119553;17,540688;3,1944413;0,221;-0,01;5328000000;85474385920;374500000;0,05448;145,5;16,04248985;0,478256033;Growth;147,0694393;1,078652437;Fair Valued;Momentum;Growth - Momentum
AOS;A. O. Smith Corporation;Industrials;Specialty Industrial Machinery;9143291904;17,972067;4,928757;2,404105;-0,05;-0,015;768899968;9238895616;344950016;0,13352999;64,34;12,01573157;3,7727114;Blend;56,38500012;-12,36400354;Overvalued;Stable;Blend - Stable
ABT;Abbott Laboratories;Healthcare;Medical Devices;2,32408E+11;17,370611;4,7613616;5,4885654;0,086;0,04;11020999680;2,39106E+11;6032374784;0,063769996;133,58;21,69552366;2,595598813;Blend;125,2701013;-6,220915315;Fair Valued;Watchlist;Blend - Watchlist
ABBV;AbbVie Inc.;Healthcare;Drug Manufacturers - General;3,35316E+11;81,47211;236,10696;5,845098;-0,063;0,084;27366000640;4,00206E+11;16941375488;0,08339;189,83;14,62421581;5,052365264;Growth;36,69749685;-80,66823113;Overvalued;Watchlist;Growth - Watchlist
ACN;Accenture plc;Technology;Information Technology Services;1,98857E+11;26,18714;6,8039665;2,9582376;0,072;0,054;11472501760;1,99358E+11;8601244672;0,11576;317,65;17,37701412;4,32533848;Blend;195,050395;-38,59581459;Overvalued;Watchlist;Blend - Watchlist
ADBE;Adobe Inc.;Technology;Software - Application;1,77691E+11;27,55585;13,849783;8,063316;2,044;0,103;8664999936;1,76818E+11;8357374976;0,17194;416,92;20,40603674;4,70331097;Growth;690,8357826;65,69984232;Undervalued;Momentum;Growth - Momentum
AMD;Advanced Micro Devices, Inc.;Technology;Semiconductors;1,8839E+11;84,81022;3,2439902;6,7888455;5,252;0,359;5878000128;1,85812E+11;3355624960;0,0256;116,19;31,61142493;1,781207347;Growth;128,4785985;10,57629611;Undervalued;Momentum;Growth - Momentum
AES;The AES Corporation;Utilities;Utilities - Diversified;7752841728;5,9184785;2,2356808;0,63972616;-0,892;-0,052;3119000064;42272837632;-5762250240;0,02399;10,89;13,55333016;-74,32436315;Value;28,97999883;166,1156917;Undervalued;Stable;Value - Undervalued
AFL;Aflac Incorporated;Financial Services;Insurance - Life;56054071296;16,124416;2,1355305;3,3189692;-0,985;-0,375;4632249856;59756077056;5280000000;0,02343;103,68;12,90001164;9,41947637;Blend;101,272505;-2,322043788;Fair Valued;Stable;Blend - Stable
A;Agilent Technologies, Inc.;Healthcare;Diagnostics & Research;32894726144;28,52217;5,358382;4,9629946;-0,286;0,06;1835000064;35092697088;1048374976;0,08462;115,8;19,12408494;3,187060964;Blend;63,94499437;-44,77979761;Overvalued;Watchlist;Blend - Watchlist
APD;Air Products and Chemicals, Inc.;Basic Materials;Specialty Chemicals;62263361536;40,31412;4,2345996;5,1796784;;-0,005;4304699904;79263924224;-3988649984;0,047020003;279,78;18,41334495;-6,406094829;Blend;109,3050028;-60,93180255;Overvalued;Stable;Blend - Stable
ABNB;Airbnb, Inc.;Consumer Cyclical;Travel Services;86804832256;35,69543;10,968648;7,7283506;-0,395;0,061;2532000000;77592805376;3194249984;0,06276;140,64;30,64486784;3,679806643;Blend;62,05500256;-55,87670466;Overvalued;Watchlist;Blend - Watchlist
AKAM;Akamai Technologies, Inc.;Technology;Software - Infrastructure;10964142080;25,848993;2,4545918;2,7278485;-0,261;0,029;1124982016;14559822848;514483488;0,03916;77,03;12,94227165;4,692419017;Blend;46,93500052;-39,06919314;Overvalued;Stable;Blend - Stable
ALB;Albemarle Corporation;Basic Materials;Specialty Chemicals;7039657984;;0,9032444;1,3820403;;-0,209;191592992;11676187648;-349651872;-0,01509;59,83;60,94266563;-4,96688721;Value;;;Fair Valued;Stable;Value - Fair Valued
ARE;Alexandria Real Estate Equities, Inc.;Real Estate;REIT - Office;12200912896;92,80263;0,68705857;3,920802;;-0,015;1971954944;29721632768;1259089792;0,013040001;70,53;15,07216626;10,31963594;Blend;11,9700002;-83,02849822;Overvalued;Stable;Blend - Stable
ALGN;Align Technology, Inc.;Healthcare;Medical Instruments & Supplies;13092204544;32,780396;3,4778087;3,288802;-0,088;-0,018;810150976;12337734656;630043904;0,06719;180,62;15,22893266;4,812359155;Blend;86,78250867;-51,95299044;Overvalued;Stable;Blend - Stable
ALLE;Allegion plc;Industrials;Security & Protection Services;11973758976;19,54354;7,4523344;3,134328;0,213;0,054;922300032;13626658816;520400000;0,11533;139,15;14,77464853;4,346170664;Growth;129,5483955;-6,900182874;Fair Valued;Momentum;Growth - Momentum
LNT;Alliant Energy Corporation;Utilities;Utilities - Regulated Electric;15535860736;20,855171;2,1902726;3,8096764;0,345;0,094;1759000064;26139879424;-1070000000;0,02735;60,48;14,86064723;-6,887291398;Growth;58,50750397;-3,261402172;Fair Valued;Momentum;Growth - Momentum
ALL;The Allstate Corporation;Financial Services;Insurance - Property & Casualty;55098032128;14,202048;2,7493887;0,84378064;-0,527;0,078;6040999936;57801928704;4154874880;0,03111;208,06;9,568271696;7,540877087;Value;230,7374965;10,89949844;Undervalued;Watchlist;Value - Undervalued
GOOGL;Alphabet Inc.;Communication Services;Internet Content & Information;2,11433E+12;19,383928;6,114416;5,8778195;0,488;0,12;1,35705E+11;2,04078E+12;60679000064;0,16896999;173,68;15,03833111;2,869895037;Growth;199,9872059;15,14694029;Undervalued;Momentum;Growth - Momentum
